timestamp,recorded_wl_ft,sigma_recorded,quality_recorded,flags_recorded,predicted_wl_ft,sigma_predicted,quality_predicted,flags_predicted,surge_residual_ft
2021-08-29 00:00,2.441,0.046,v,"0,0,0,0",1.643,,,,0.7979999999999998
2021-08-29 00:06,2.549,0.043,v,"0,0,0,0",1.732,,,,0.817
2021-08-29 00:12,2.667,0.039,v,"0,0,0,0",1.827,,,,0.8399999999999999
2021-08-29 00:18,2.743,0.03,v,"0,0,0,0",1.926,,,,0.817
2021-08-29 00:24,2.831,0.036,v,"0,0,0,0",2.029,,,,0.802
2021-08-29 00:30,2.94,0.049,v,"0,0,0,0",2.136,,,,0.8039999999999998
2021-08-29 00:36,3.054,0.052,v,"0,0,0,0",2.246,,,,0.8079999999999998
2021-08-29 00:42,3.205,0.059,v,"0,0,0,0",2.359,,,,0.8460000000000001
2021-08-29 00:48,3.35,0.052,v,"0,0,0,0",2.474,,,,0.8759999999999999
2021-08-29 00:54,3.497,0.043,v,"0,0,0,0",2.592,,,,0.9049999999999998
2021-08-29 01:00,3.606,0.036,v,"0,0,0,0",2.711,,,,0.895
2021-08-29 01:06,3.691,0.036,v,"0,0,0,0",2.832,,,,0.859
2021-08-29 01:12,3.809,0.052,v,"0,0,0,0",2.954,,,,0.855
2021-08-29 01:18,3.957,0.043,v,"0,0,0,0",3.077,,,,0.8799999999999999
2021-08-29 01:24,4.088,0.046,v,"0,0,0,0",3.2,,,,0.8879999999999999
2021-08-29 01:30,4.206,0.039,v,"0,0,0,0",3.324,,,,0.8820000000000006
2021-08-29 01:36,4.327,0.039,v,"0,0,0,0",3.448,,,,0.879
2021-08-29 01:42,4.439,0.039,v,"0,0,0,0",3.572,,,,0.867
2021-08-29 01:48,4.567,0.043,v,"0,0,0,0",3.696,,,,0.871
2021-08-29 01:54,4.715,0.043,v,"0,0,0,0",3.82,,,,0.895
2021-08-29 02:00,4.846,0.046,v,"0,0,0,0",3.943,,,,0.903
2021-08-29 02:06,4.97,0.043,v,"0,0,0,0",4.066,,,,0.9039999999999999
2021-08-29 02:12,5.082,0.033,v,"0,0,0,0",4.187,,,,0.8949999999999996
2021-08-29 02:18,5.19,0.046,v,"0,0,0,0",4.308,,,,0.8820000000000006
2021-08-29 02:24,5.331,0.043,v,"0,0,0,0",4.428,,,,0.9030000000000005
2021-08-29 02:30,5.479,0.039,v,"0,0,0,0",4.546,,,,0.9329999999999998
2021-08-29 02:36,5.594,0.036,v,"0,0,0,0",4.662,,,,0.9320000000000004
2021-08-29 02:42,5.686,0.033,v,"0,0,0,0",4.777,,,,0.9089999999999998
2021-08-29 02:48,5.787,0.039,v,"0,0,0,0",4.889,,,,0.8979999999999997
2021-08-29 02:54,5.906,0.036,v,"0,0,0,0",4.999,,,,0.907
2021-08-29 03:00,6.017,0.036,v,"0,0,0,0",5.106,,,,0.9110000000000005
2021-08-29 03:06,6.132,0.039,v,"0,0,0,0",5.21,,,,0.9219999999999997
2021-08-29 03:12,6.224,0.033,v,"0,0,0,0",5.311,,,,0.9130000000000003
2021-08-29 03:18,6.306,0.023,v,"0,0,0,0",5.408,,,,0.8979999999999997
2021-08-29 03:24,6.381,0.03,v,"0,0,0,0",5.501,,,,0.8799999999999999
2021-08-29 03:30,6.457,0.026,v,"0,0,0,0",5.59,,,,0.867
2021-08-29 03:36,6.539,0.026,v,"0,0,0,0",5.673,,,,0.8659999999999997
2021-08-29 03:42,6.598,0.033,v,"0,0,0,0",5.752,,,,0.8460000000000001
2021-08-29 03:48,6.673,0.023,v,"0,0,0,0",5.825,,,,0.8479999999999999
2021-08-29 03:54,6.759,0.026,v,"0,0,0,0",5.892,,,,0.867
2021-08-29 04:00,6.814,0.023,v,"0,0,0,0",5.953,,,,0.8609999999999998
2021-08-29 04:06,6.864,0.02,v,"0,0,0,0",6.007,,,,0.8570000000000002
2021-08-29 04:12,6.896,0.01,v,"0,0,0,0",6.055,,,,0.8410000000000002
2021-08-29 04:18,6.913,0.01,v,"0,0,0,0",6.096,,,,0.8170000000000002
2021-08-29 04:24,6.916,0.013,v,"0,0,0,0",6.13,,,,0.7860000000000005
2021-08-29 04:30,6.942,0.01,v,"0,0,0,0",6.156,,,,0.7860000000000005
2021-08-29 04:36,6.959,0.013,v,"0,0,0,0",6.175,,,,0.7839999999999998
2021-08-29 04:42,6.968,0.01,v,"0,0,0,0",6.186,,,,0.782
