timestamp,recorded_wl_ft,sigma_recorded,quality_recorded,flags_recorded,predicted_wl_ft,sigma_predicted,quality_predicted,flags_predicted,surge_residual_ft
2023-09-27 00:00,6.05,0.062,v,"0,0,0,0",5.083,,,,0.9669999999999996
2023-09-27 00:06,5.846,0.059,v,"0,0,0,0",4.909,,,,0.9370000000000003
2023-09-27 00:12,5.659,0.056,v,"0,0,0,0",4.734,,,,0.9249999999999998
2023-09-27 00:18,5.479,0.059,v,"0,0,0,0",4.557,,,,0.9219999999999997
2023-09-27 00:24,5.295,0.059,v,"0,0,0,0",4.379,,,,0.9160000000000004
2023-09-27 00:30,5.102,0.059,v,"0,0,0,0",4.201,,,,0.9010000000000007
2023-09-27 00:36,4.925,0.052,v,"0,0,0,0",4.022,,,,0.9029999999999996
2023-09-27 00:42,4.751,0.056,v,"0,0,0,0",3.843,,,,0.9080000000000004
2023-09-27 00:48,4.551,0.069,v,"0,0,0,0",3.664,,,,0.887
2023-09-27 00:54,4.327,0.069,v,"0,0,0,0",3.486,,,,0.8409999999999997
2023-09-27 01:00,4.117,0.056,v,"0,0,0,0",3.309,,,,0.8079999999999998
2023-09-27 01:06,3.944,0.049,v,"0,0,0,0",3.133,,,,0.8109999999999999
2023-09-27 01:12,3.793,0.046,v,"0,0,0,0",2.959,,,,0.8340000000000001
2023-09-27 01:18,3.632,0.049,v,"0,0,0,0",2.786,,,,0.8460000000000001
2023-09-27 01:24,3.468,0.056,v,"0,0,0,0",2.615,,,,0.8529999999999998
2023-09-27 01:30,3.297,0.049,v,"0,0,0,0",2.447,,,,0.8500000000000001
2023-09-27 01:36,3.117,0.059,v,"0,0,0,0",2.282,,,,0.835
2023-09-27 01:42,2.933,0.052,v,"0,0,0,0",2.119,,,,0.8139999999999996
2023-09-27 01:48,2.769,0.052,v,"0,0,0,0",1.96,,,,0.8090000000000002
2023-09-27 01:54,2.605,0.052,v,"0,0,0,0",1.804,,,,0.8009999999999999
2023-09-27 02:00,2.457,0.046,v,"0,0,0,0",1.652,,,,0.8049999999999999
2023-09-27 02:06,2.329,0.043,v,"0,0,0,0",1.505,,,,0.8240000000000003
2023-09-27 02:12,2.195,0.046,v,"0,0,0,0",1.362,,,,0.8329999999999997
2023-09-27 02:18,2.041,0.052,v,"0,0,0,0",1.225,,,,0.8159999999999998
2023-09-27 02:24,1.877,0.052,v,"0,0,0,0",1.092,,,,0.7849999999999999
2023-09-27 02:30,1.739,0.043,v,"0,0,0,0",0.966,,,,0.7730000000000001
2023-09-27 02:36,1.621,0.036,v,"0,0,0,0",0.846,,,,0.775
2023-09-27 02:42,1.519,0.033,v,"0,0,0,0",0.732,,,,0.7869999999999999
2023-09-27 02:48,1.404,0.039,v,"0,0,0,0",0.626,,,,0.7779999999999999
