timestamp,recorded_wl_ft,sigma_recorded,quality_recorded,flags_recorded,predicted_wl_ft,sigma_predicted,quality_predicted,flags_predicted,surge_residual_ft
2012-10-27 00:00,5.745,0.016,v,"0,0,0,0",5.242,,,,0.5030000000000001
2012-10-27 00:06,5.6,0.023,v,"0,0,0,0",5.1,,,,0.5
2012-10-27 00:12,5.436,0.02,v,"0,0,0,0",4.956,,,,0.47999999999999954
2012-10-27 00:18,5.279,0.02,v,"0,0,0,0",4.808,,,,0.4710000000000001
2012-10-27 00:24,5.128,0.02,v,"0,0,0,0",4.658,,,,0.46999999999999975
2012-10-27 00:30,4.964,0.023,v,"0,0,0,0",4.506,,,,0.4580000000000002
2012-10-27 00:36,4.8,0.023,v,"0,0,0,0",4.352,,,,0.4479999999999995
2012-10-27 00:42,4.629,0.023,v,"0,0,0,0",4.196,,,,0.43299999999999983
2012-10-27 00:48,4.462,0.02,v,"0,0,0,0",4.039,,,,0.42300000000000004
2012-10-27 00:54,4.295,0.023,v,"0,0,0,0",3.88,,,,0.41500000000000004
2012-10-27 01:00,4.124,0.023,v,"0,0,0,0",3.72,,,,0.40399999999999947
2012-10-27 01:06,3.957,0.02,v,"0,0,0,0",3.56,,,,0.3969999999999998
2012-10-27 01:12,3.796,0.02,v,"0,0,0,0",3.399,,,,0.3969999999999998
2012-10-27 01:18,3.645,0.016,v,"0,0,0,0",3.239,,,,0.40600000000000014
2012-10-27 01:24,3.497,0.016,v,"0,0,0,0",3.078,,,,0.41900000000000004
2012-10-27 01:30,3.356,0.016,v,"0,0,0,0",2.918,,,,0.4379999999999997
2012-10-27 01:36,3.192,0.023,v,"0,0,0,0",2.759,,,,0.4330000000000003
2012-10-27 01:42,3.012,0.023,v,"0,0,0,0",2.601,,,,0.41100000000000003
2012-10-27 01:48,2.828,0.023,v,"0,0,0,0",2.445,,,,0.383
2012-10-27 01:54,2.677,0.02,v,"0,0,0,0",2.29,,,,0.387
2012-10-27 02:00,2.556,0.013,v,"0,0,0,0",2.139,,,,0.41700000000000026
2012-10-27 02:06,2.448,0.013,v,"0,0,0,0",1.99,,,,0.45799999999999996
2012-10-27 02:12,2.343,0.013,v,"0,0,0,0",1.845,,,,0.498
2012-10-27 02:18,2.221,0.013,v,"0,0,0,0",1.703,,,,0.518
2012-10-27 02:24,2.1,0.016,v,"0,0,0,0",1.566,,,,0.534
2012-10-27 02:30,1.962,0.016,v,"0,0,0,0",1.434,,,,0.528
2012-10-27 02:36,1.827,0.016,v,"0,0,0,0",1.308,,,,0.5189999999999999
2012-10-27 02:42,1.709,0.013,v,"0,0,0,0",1.187,,,,0.522
2012-10-27 02:48,1.614,0.01,v,"0,0,0,0",1.073,,,,0.5410000000000001
2012-10-27 02:54,1.535,0.01,v,"0,0,0,0",0.966,,,,0.569
2012-10-27 03:00,1.45,0.013,v,"0,0,0,0",0.866,,,,0.584
2012-10-27 03:06,1.365,0.01,v,"0,0,0,0",0.774,,,,0.591
2012-10-27 03:12,1.293,0.007,v,"0,0,0,0",0.691,,,,0.602
2012-10-27 03:18,1.234,0.007,v,"0,0,0,0",0.616,,,,0.618
