timestamp,recorded_wl_ft,sigma_recorded,quality_recorded,flags_recorded,predicted_wl_ft,sigma_predicted,quality_predicted,flags_predicted,surge_residual_ft,wind_speed_knots,wind_compass,gust_knots,wind_direction_deg,flags,barPressure_millibars,data_flags
2012-10-27 00:00,7.067,0.023,v,"0,0,0,0",6.263,,,,0.8040000000000003,,,,,"1,1",1019.2,"0,0,0"
2012-10-27 00:06,6.913,0.03,v,"0,0,0,0",6.068,,,,0.8450000000000006,,,,,"1,1",1019.1,"0,0,0"
2012-10-27 00:12,6.742,0.026,v,"0,0,0,0",5.867,,,,0.875,1.17,SSW,1.56,194.0,"0,0",1019.1,"0,0,0"
2012-10-27 00:18,6.565,0.026,v,"0,0,0,0",5.661,,,,0.9040000000000008,0.97,SSE,1.56,162.0,"0,0",1019.1,"0,0,0"
2012-10-27 00:24,6.371,0.026,v,"0,0,0,0",5.452,,,,0.9190000000000005,0.97,S,1.56,170.0,"0,0",1019.0,"0,0,0"
2012-10-27 00:30,6.165,0.026,v,"0,0,0,0",5.241,,,,0.9240000000000004,1.36,SSE,2.14,150.0,"0,0",1019.0,"0,0,0"
2012-10-27 00:36,5.948,0.03,v,"0,0,0,0",5.028,,,,0.9200000000000008,0.97,SE,1.36,135.0,"0,0",1019.0,"0,0,0"
2012-10-27 00:42,5.728,0.03,v,"0,0,0,0",4.816,,,,0.9119999999999999,0.78,SE,2.14,141.0,"0,0",1019.0,"0,0,0"
2012-10-27 00:48,5.492,0.03,v,"0,0,0,0",4.604,,,,0.8879999999999999,1.56,SE,2.14,134.0,"0,0",1019.0,"0,0,0"
2012-10-27 00:54,5.249,0.03,v,"0,0,0,0",4.395,,,,0.8540000000000001,1.17,SE,1.75,139.0,"0,0",1019.0,"0,0,0"
2012-10-27 01:00,5.01,0.033,v,"0,0,0,0",4.189,,,,0.8209999999999997,1.36,SE,2.14,140.0,"0,0",1019.0,"0,0,0"
2012-10-27 01:06,4.76,0.033,v,"0,0,0,0",3.988,,,,0.7719999999999998,1.36,SE,2.53,137.0,"0,0",1018.9,"0,0,0"
2012-10-27 01:12,4.508,0.036,v,"0,0,0,0",3.791,,,,0.7170000000000001,0.78,E,1.56,80.0,"0,0",1018.8,"0,0,0"
2012-10-27 01:18,4.252,0.033,v,"0,0,0,0",3.6,,,,0.6519999999999997,0.97,NNE,1.36,26.0,"0,0",1018.7,"0,0,0"
2012-10-27 01:24,4.003,0.033,v,"0,0,0,0",3.415,,,,0.5880000000000001,0.39,NNE,1.17,26.0,"0,0",1018.6,"0,0,0"
