timestamp,recorded_wl_ft,sigma_recorded,quality_recorded,flags_recorded,predicted_wl_ft,sigma_predicted,quality_predicted,flags_predicted,surge_residual_ft,wind_speed_knots,wind_compass,gust_knots,wind_direction_deg,flags,barPressure_millibars,data_flags
2021-08-29 00:00,2.011,0.013,v,"0,0,0,0",1.284,,,,0.7270000000000001,1.56,ESE,4.86,104.0,"0,0",1026.1,"0,0,0"
2021-08-29 00:06,2.067,0.02,v,"0,0,0,0",1.327,,,,0.7400000000000002,1.56,SE,4.47,124.0,"0,0",1026.1,"0,0,0"
2021-08-29 00:12,2.133,0.023,v,"0,0,0,0",1.378,,,,0.7550000000000001,1.56,SE,3.89,143.0,"0,0",1026.1,"0,0,0"
2021-08-29 00:18,2.211,0.03,v,"0,0,0,0",1.44,,,,0.7709999999999999,2.53,E,4.08,101.0,"0,0",1026.1,"0,0,0"
2021-08-29 00:24,2.31,0.03,v,"0,0,0,0",1.511,,,,0.7990000000000002,5.44,ESE,7.78,109.0,"0,0",1026.1,"0,0,0"
2021-08-29 00:30,2.421,0.036,v,"0,0,0,0",1.594,,,,0.8269999999999997,1.75,SE,4.47,132.0,"0,0",1026.2,"0,0,0"
2021-08-29 00:36,2.546,0.039,v,"0,0,0,0",1.688,,,,0.8579999999999999,1.17,SE,4.47,126.0,"0,0",1026.1,"0,0,0"
2021-08-29 00:42,2.687,0.046,v,"0,0,0,0",1.794,,,,0.8929999999999998,3.11,ESE,7.39,103.0,"0,0",1026.0,"0,0,0"
2021-08-29 00:48,2.831,0.046,v,"0,0,0,0",1.911,,,,0.9199999999999999,4.08,ESE,7.78,118.0,"0,0",1026.0,"0,0,0"
2021-08-29 00:54,2.989,0.049,v,"0,0,0,0",2.04,,,,0.9489999999999998,3.3,ESE,5.44,102.0,"0,0",1026.0,"0,0,0"
2021-08-29 01:00,3.156,0.056,v,"0,0,0,0",2.179,,,,0.9770000000000003,2.92,E,6.22,86.0,"0,0",1026.1,"0,0,0"
2021-08-29 01:06,3.337,0.056,v,"0,0,0,0",2.33,,,,1.0070000000000001,1.94,ESE,6.41,114.0,"0,0",1026.1,"0,0,0"
2021-08-29 01:12,3.52,0.056,v,"0,0,0,0",2.49,,,,1.0299999999999998,2.14,ENE,5.25,77.0,"0,0",1026.1,"0,0,0"
2021-08-29 01:18,3.707,0.062,v,"0,0,0,0",2.66,,,,1.0469999999999997,5.05,E,6.41,89.0,"0,0",1026.1,"0,0,0"
2021-08-29 01:24,3.904,0.059,v,"0,0,0,0",2.838,,,,1.0659999999999998,2.33,E,4.47,99.0,"0,0",1026.0,"0,0,0"
2021-08-29 01:30,4.101,0.059,v,"0,0,0,0",3.022,,,,1.0790000000000002,3.3,E,5.44,91.0,"0,0",1025.8,"0,0,0"
2021-08-29 01:36,4.308,0.062,v,"0,0,0,0",3.213,,,,1.0949999999999998,1.17,SE,4.67,127.0,"0,0",1025.7,"0,0,0"
2021-08-29 01:42,4.505,0.062,v,"0,0,0,0",3.407,,,,1.0979999999999999,3.5,ESE,4.67,105.0,"0,0",1025.7,"0,0,0"
2021-08-29 01:48,4.708,0.062,v,"0,0,0,0",3.605,,,,1.1030000000000002,2.72,ESE,4.86,102.0,"0,0",1025.6,"0,0,0"
2021-08-29 01:54,4.911,0.062,v,"0,0,0,0",3.804,,,,1.1069999999999998,1.94,E,4.08,86.0,"0,0",1025.6,"0,0,0"
2021-08-29 02:00,5.108,0.059,v,"0,0,0,0",4.004,,,,1.104,2.53,E,4.67,96.0,"0,0",1025.5,"0,0,0"
2021-08-29 02:06,5.308,0.056,v,"0,0,0,0",4.201,,,,1.1070000000000002,3.3,ESE,5.25,109.0,"0,0",1025.3,"0,0,0"
2021-08-29 02:12,5.502,0.059,v,"0,0,0,0",4.396,,,,1.1059999999999999,2.33,ESE,3.89,102.0,"0,0",1025.3,"0,0,0"
2021-08-29 02:18,5.692,0.056,v,"0,0,0,0",4.587,,,,1.1050000000000004,2.14,ESE,3.5,108.0,"0,0",1025.2,"0,0,0"
2021-08-29 02:24,5.863,0.052,v,"0,0,0,0",4.772,,,,1.0910000000000002,1.75,E,2.92,92.0,"0,0",1025.2,"0,0,0"
