timestamp,recorded_wl_ft,sigma_recorded,quality_recorded,flags_recorded,predicted_wl_ft,sigma_predicted,quality_predicted,flags_predicted,surge_residual_ft
2021-08-29 00:00,2.011,0.013,v,"0,0,0,0",1.284,,,,0.7270000000000001
2021-08-29 00:06,2.067,0.02,v,"0,0,0,0",1.327,,,,0.7400000000000002
2021-08-29 00:12,2.133,0.023,v,"0,0,0,0",1.378,,,,0.7550000000000001
2021-08-29 00:18,2.211,0.03,v,"0,0,0,0",1.44,,,,0.7709999999999999
2021-08-29 00:24,2.31,0.03,v,"0,0,0,0",1.511,,,,0.7990000000000002
2021-08-29 00:30,2.421,0.036,v,"0,0,0,0",1.594,,,,0.8269999999999997
2021-08-29 00:36,2.546,0.039,v,"0,0,0,0",1.688,,,,0.8579999999999999
2021-08-29 00:42,2.687,0.046,v,"0,0,0,0",1.794,,,,0.8929999999999998
2021-08-29 00:48,2.831,0.046,v,"0,0,0,0",1.911,,,,0.9199999999999999
2021-08-29 00:54,2.989,0.049,v,"0,0,0,0",2.04,,,,0.9489999999999998
2021-08-29 01:00,3.156,0.056,v,"0,0,0,0",2.179,,,,0.9770000000000003
2021-08-29 01:06,3.337,0.056,v,"0,0,0,0",2.33,,,,1.0070000000000001
2021-08-29 01:12,3.52,0.056,v,"0,0,0,0",2.49,,,,1.0299999999999998
2021-08-29 01:18,3.707,0.062,v,"0,0,0,0",2.66,,,,1.0469999999999997
2021-08-29 01:24,3.904,0.059,v,"0,0,0,0",2.838,,,,1.0659999999999998
2021-08-29 01:30,4.101,0.059,v,"0,0,0,0",3.022,,,,1.0790000000000002
2021-08-29 01:36,4.308,0.062,v,"0,0,0,0",3.213,,,,1.0949999999999998
2021-08-29 01:42,4.505,0.062,v,"0,0,0,0",3.407,,,,1.0979999999999999
2021-08-29 01:48,4.708,0.062,v,"0,0,0,0",3.605,,,,1.1030000000000002
2021-08-29 01:54,4.911,0.062,v,"0,0,0,0",3.804,,,,1.1069999999999998
2021-08-29 02:00,5.108,0.059,v,"0,0,0,0",4.004,,,,1.104
2021-08-29 02:06,5.308,0.056,v,"0,0,0,0",4.201,,,,1.1070000000000002
2021-08-29 02:12,5.502,0.059,v,"0,0,0,0",4.396,,,,1.1059999999999999
2021-08-29 02:18,5.692,0.056,v,"0,0,0,0",4.587,,,,1.1050000000000004
2021-08-29 02:24,5.863,0.052,v,"0,0,0,0",4.772,,,,1.0910000000000002
2021-08-29 02:30,6.037,0.049,v,"0,0,0,0",4.95,,,,1.0869999999999997
2021-08-29 02:36,6.191,0.046,v,"0,0,0,0",5.121,,,,1.0699999999999994
2021-08-29 02:42,6.339,0.043,v,"0,0,0,0",5.283,,,,1.056
2021-08-29 02:48,6.473,0.043,v,"0,0,0,0",5.436,,,,1.037
2021-08-29 02:54,6.608,0.039,v,"0,0,0,0",5.579,,,,1.029
2021-08-29 03:00,6.726,0.036,v,"0,0,0,0",5.711,,,,1.0149999999999997
2021-08-29 03:06,6.834,0.033,v,"0,0,0,0",5.834,,,,1.0
2021-08-29 03:12,6.929,0.03,v,"0,0,0,0",5.946,,,,0.9830000000000005
2021-08-29 03:18,7.028,0.03,v,"0,0,0,0",6.047,,,,0.9809999999999999
2021-08-29 03:24,7.106,0.023,v,"0,0,0,0",6.138,,,,0.968
2021-08-29 03:30,7.178,0.02,v,"0,0,0,0",6.219,,,,0.9589999999999996
2021-08-29 03:36,7.238,0.02,v,"0,0,0,0",6.291,,,,0.9470000000000001
2021-08-29 03:42,7.293,0.016,v,"0,0,0,0",6.354,,,,0.9390000000000001
2021-08-29 03:48,7.336,0.013,v,"0,0,0,0",6.409,,,,0.9270000000000005
2021-08-29 03:54,7.372,0.013,v,"0,0,0,0",6.456,,,,0.9159999999999995
2021-08-29 04:00,7.398,0.01,v,"0,0,0,0",6.496,,,,0.9019999999999992
2021-08-29 04:06,7.421,0.01,v,"0,0,0,0",6.531,,,,0.8900000000000006
2021-08-29 04:12,7.434,0.01,v,"0,0,0,0",6.559,,,,0.875
2021-08-29 04:18,7.444,0.007,v,"0,0,0,0",6.583,,,,0.8609999999999998
2021-08-29 04:24,7.454,0.007,v,"0,0,0,0",6.602,,,,0.8519999999999994
2021-08-29 04:30,7.457,0.01,v,"0,0,0,0",6.618,,,,0.8389999999999995
2021-08-29 04:36,7.461,0.01,v,"0,0,0,0",6.63,,,,0.8310000000000004
2021-08-29 04:42,7.467,0.01,v,"0,0,0,0",6.639,,,,0.8279999999999994
2021-08-29 04:48,7.464,0.01,v,"0,0,0,0",6.645,,,,0.8190000000000008
2021-08-29 04:54,7.464,0.01,v,"0,0,0,0",6.649,,,,0.8150000000000004
2021-08-29 05:00,7.461,0.01,v,"0,0,0,0",6.65,,,,0.8109999999999999
2021-08-29 05:06,7.457,0.01,v,"0,0,0,0",6.648,,,,0.8090000000000002
2021-08-29 05:12,7.451,0.01,v,"0,0,0,0",6.644,,,,0.8069999999999995
2021-08-29 05:18,7.434,0.01,v,"0,0,0,0",6.636,,,,0.798
2021-08-29 05:24,7.421,0.013,v,"0,0,0,0",6.625,,,,0.7960000000000003
2021-08-29 05:30,7.408,0.01,v,"0,0,0,0",6.61,,,,0.798
2021-08-29 05:36,7.385,0.01,v,"0,0,0,0",6.591,,,,0.7939999999999996
2021-08-29 05:42,7.359,0.01,v,"0,0,0,0",6.566,,,,0.7930000000000001
2021-08-29 05:48,7.323,0.0,v,"1,0,0,0",6.537,,,,0.7860000000000005
2021-08-29 05:54,7.28,0.0,v,"1,0,0,0",6.502,,,,0.7780000000000005
2021-08-29 06:00,7.228,0.016,v,"0,0,0,0",6.46,,,,0.7679999999999998
2021-08-29 06:06,7.169,0.02,v,"0,0,0,0",6.412,,,,0.7569999999999997
2021-08-29 06:12,7.096,0.023,v,"0,0,0,0",6.356,,,,0.7400000000000002
2021-08-29 06:18,7.024,0.023,v,"0,0,0,0",6.293,,,,0.7309999999999999
2021-08-29 06:24,6.946,0.026,v,"0,0,0,0",6.221,,,,0.7249999999999996
2021-08-29 06:30,6.854,0.03,v,"0,0,0,0",6.14,,,,0.7140000000000004
2021-08-29 06:36,6.749,0.033,v,"0,0,0,0",6.051,,,,0.6979999999999995
2021-08-29 06:42,6.634,0.039,v,"0,0,0,0",5.954,,,,0.6800000000000006
2021-08-29 06:48,6.509,0.039,v,"0,0,0,0",5.847,,,,0.6619999999999999
2021-08-29 06:54,6.375,0.043,v,"0,0,0,0",5.731,,,,0.6440000000000001
2021-08-29 07:00,6.237,0.046,v,"0,0,0,0",5.607,,,,0.6299999999999999
2021-08-29 07:06,6.086,0.046,v,"0,0,0,0",5.475,,,,0.6110000000000007
2021-08-29 07:12,5.932,0.046,v,"0,0,0,0",5.334,,,,0.5980000000000008
2021-08-29 07:18,5.768,0.049,v,"0,0,0,0",5.186,,,,0.5819999999999999
2021-08-29 07:24,5.61,0.049,v,"0,0,0,0",5.032,,,,0.5780000000000003
2021-08-29 07:30,5.443,0.052,v,"0,0,0,0",4.871,,,,0.5719999999999992
2021-08-29 07:36,5.269,0.056,v,"0,0,0,0",4.705,,,,0.5640000000000001
2021-08-29 07:42,5.085,0.062,v,"0,0,0,0",4.534,,,,0.5510000000000002
2021-08-29 07:48,4.905,0.056,v,"0,0,0,0",4.36,,,,0.5449999999999999
2021-08-29 07:54,4.724,0.056,v,"0,0,0,0",4.184,,,,0.54
2021-08-29 08:00,4.541,0.056,v,"0,0,0,0",4.006,,,,0.5350000000000001
2021-08-29 08:06,4.354,0.062,v,"0,0,0,0",3.828,,,,0.5260000000000002
2021-08-29 08:12,4.176,0.049,v,"0,0,0,0",3.65,,,,0.5260000000000002
2021-08-29 08:18,4.006,0.056,v,"0,0,0,0",3.475,,,,0.5310000000000001
2021-08-29 08:24,3.839,0.049,v,"0,0,0,0",3.303,,,,0.536
2021-08-29 08:30,3.678,0.049,v,"0,0,0,0",3.134,,,,0.544
