timestamp,recorded_wl_ft,sigma_recorded,quality_recorded,flags_recorded,predicted_wl_ft,sigma_predicted,quality_predicted,flags_predicted,surge_residual_ft
2023-09-27 00:00,7.352,0.072,v,"0,0,0,0",6.239,,,,1.1130000000000004
2023-09-27 00:06,7.119,0.072,v,"0,0,0,0",6.029,,,,1.0899999999999999
2023-09-27 00:12,6.883,0.075,v,"0,0,0,0",5.811,,,,1.072
2023-09-27 00:18,6.647,0.072,v,"0,0,0,0",5.588,,,,1.0590000000000002
2023-09-27 00:24,6.411,0.075,v,"0,0,0,0",5.359,,,,1.0519999999999996
2023-09-27 00:30,6.168,0.075,v,"0,0,0,0",5.126,,,,1.0419999999999998
2023-09-27 00:36,5.925,0.072,v,"0,0,0,0",4.89,,,,1.0350000000000001
2023-09-27 00:42,5.682,0.079,v,"0,0,0,0",4.651,,,,1.0310000000000006
2023-09-27 00:48,5.433,0.072,v,"0,0,0,0",4.412,,,,1.021
2023-09-27 00:54,5.187,0.072,v,"0,0,0,0",4.172,,,,1.0150000000000006
2023-09-27 01:00,4.948,0.079,v,"0,0,0,0",3.934,,,,1.0140000000000002
2023-09-27 01:06,4.701,0.075,v,"0,0,0,0",3.698,,,,1.0029999999999997
2023-09-27 01:12,4.462,0.072,v,"0,0,0,0",3.465,,,,0.9969999999999999
2023-09-27 01:18,4.226,0.072,v,"0,0,0,0",3.236,,,,0.9899999999999998
2023-09-27 01:24,3.99,0.072,v,"0,0,0,0",3.012,,,,0.9780000000000002
2023-09-27 01:30,3.757,0.072,v,"0,0,0,0",2.794,,,,0.9630000000000001
2023-09-27 01:36,3.53,0.069,v,"0,0,0,0",2.582,,,,0.948
2023-09-27 01:42,3.31,0.069,v,"0,0,0,0",2.378,,,,0.9319999999999999
2023-09-27 01:48,3.094,0.066,v,"0,0,0,0",2.182,,,,0.9119999999999999
2023-09-27 01:54,2.887,0.062,v,"0,0,0,0",1.994,,,,0.893
2023-09-27 02:00,2.697,0.062,v,"0,0,0,0",1.815,,,,0.8820000000000001
2023-09-27 02:06,2.507,0.059,v,"0,0,0,0",1.645,,,,0.8620000000000001
2023-09-27 02:12,2.323,0.052,v,"0,0,0,0",1.484,,,,0.839
2023-09-27 02:18,2.156,0.052,v,"0,0,0,0",1.332,,,,0.8240000000000001
2023-09-27 02:24,2.005,0.049,v,"0,0,0,0",1.189,,,,0.8159999999999998
2023-09-27 02:30,1.857,0.039,v,"0,0,0,0",1.055,,,,0.802
2023-09-27 02:36,1.722,0.039,v,"0,0,0,0",0.93,,,,0.7919999999999999
2023-09-27 02:42,1.604,0.036,v,"0,0,0,0",0.813,,,,0.7910000000000001
2023-09-27 02:48,1.496,0.033,v,"0,0,0,0",0.704,,,,0.792
2023-09-27 02:54,1.407,0.026,v,"0,0,0,0",0.602,,,,0.805
2023-09-27 03:00,1.332,0.023,v,"0,0,0,0",0.508,,,,0.8240000000000001
2023-09-27 03:06,1.273,0.02,v,"0,0,0,0",0.42,,,,0.853
2023-09-27 03:12,1.234,0.013,v,"0,0,0,0",0.338,,,,0.8959999999999999
2023-09-27 03:18,1.207,0.013,v,"0,0,0,0",0.262,,,,0.9450000000000001
2023-09-27 03:24,1.175,0.013,v,"0,0,0,0",0.192,,,,0.9830000000000001
2023-09-27 03:30,1.152,0.013,v,"0,0,0,0",0.127,,,,1.025
2023-09-27 03:36,1.129,0.013,v,"0,0,0,0",0.067,,,,1.062
2023-09-27 03:42,1.102,0.013,v,"0,0,0,0",0.012,,,,1.09
2023-09-27 03:48,1.066,0.02,v,"0,0,0,0",-0.038,,,,1.104
2023-09-27 03:54,1.03,0.016,v,"0,0,0,0",-0.083,,,,1.113
2023-09-27 04:00,0.991,0.02,v,"0,0,0,0",-0.123,,,,1.1139999999999999
2023-09-27 04:06,0.955,0.023,v,"0,0,0,0",-0.157,,,,1.1119999999999999
2023-09-27 04:12,0.899,0.02,v,"0,0,0,0",-0.186,,,,1.085
2023-09-27 04:18,0.856,0.02,v,"0,0,0,0",-0.207,,,,1.063
2023-09-27 04:24,0.814,0.016,v,"0,0,0,0",-0.222,,,,1.036
2023-09-27 04:30,0.778,0.016,v,"0,0,0,0",-0.228,,,,1.006
2023-09-27 04:36,0.738,0.02,v,"0,0,0,0",-0.226,,,,0.964
2023-09-27 04:42,0.702,0.016,v,"0,0,0,0",-0.214,,,,0.9159999999999999
2023-09-27 04:48,0.679,0.013,v,"0,0,0,0",-0.192,,,,0.871
2023-09-27 04:54,0.676,0.016,v,"0,0,0,0",-0.158,,,,0.8340000000000001
2023-09-27 05:00,0.673,0.013,v,"0,0,0,0",-0.112,,,,0.785
2023-09-27 05:06,0.689,0.016,v,"0,0,0,0",-0.053,,,,0.742
2023-09-27 05:12,0.718,0.023,v,"0,0,0,0",0.02,,,,0.698
2023-09-27 05:18,0.761,0.026,v,"0,0,0,0",0.107,,,,0.654
2023-09-27 05:24,0.83,0.03,v,"0,0,0,0",0.209,,,,0.621
2023-09-27 05:30,0.919,0.03,v,"0,0,0,0",0.327,,,,0.5920000000000001
